Product ID,city,discount
185102,San Antonio,0.07
185102,Houston,0.19
185102,San Diego,0.15
185102,Phoenix,0.12
185102,San Jose,0.03
185102,Chicago,0.03
185102,Philadelphia,0.01
185102,Los Angeles,0.17
185102,New York,0.12
185102,Dallas,0.14
188771,Houston,0.0
188771,Los Angeles,0.19
188771,San Diego,0.17
188771,Philadelphia,0.04
188771,San Jose,0.04
188771,San Antonio,0.04
188771,Dallas,0.06
188771,Phoenix,0.1
188771,New York,0.09
188771,Chicago,0.06
180176,New York,0.12
180176,Dallas,0.03
180176,Houston,0.06
180176,Chicago,0.07
180176,San Antonio,0.09
180176,Philadelphia,0.16
180176,San Diego,0.04
180176,Phoenix,0.1
180176,San Jose,0.12
112917,Philadelphia,0.01
112917,San Diego,0.12
112917,Dallas,0.03
112917,Houston,0.01
112917,New York,0.19
112917,San Jose,0.19
112917,San Antonio,0.16
112917,Los Angeles,0.06
112917,Chicago,0.02
112917,Phoenix,0.14
192936,Los Angeles,0.09
192936,New York,0.02
192936,Phoenix,0.1
192936,San Antonio,0.01
192936,Dallas,0.18
192936,Chicago,0.05
192936,Houston,0.13
192936,San Diego,0.06
192936,Philadelphia,0.1
117590,Chicago,0.11
117590,New York,0.04
117590,Phoenix,0.19
117590,Philadelphia,0.16
117590,Dallas,0.19
117590,San Diego,0.18
117590,Houston,0.12
117590,San Antonio,0.18
117590,Los Angeles,0.02
117590,San Jose,0.04
189118,Philadelphia,0.01
189118,San Jose,0.07
189118,Chicago,0.08
189118,San Diego,0.05
189118,Los Angeles,0.17
189118,San Antonio,0.07
189118,New York,0.06
189118,Dallas,0.11
189118,Houston,0.03
189118,Phoenix,0.16
182157,Philadelphia,0.01
182157,Dallas,0.2
182157,San Diego,0.15
182157,Phoenix,0.04
182157,New York,0.0
182157,San Antonio,0.16
182157,Chicago,0.14
182157,San Jose,0.15
182157,Houston,0.15
182157,Los Angeles,0.01
141861,San Diego,0.07
141861,Chicago,0.02
141861,New York,0.17
141861,Houston,0.12
141861,Los Angeles,0.07
141861,San Antonio,0.01
141861,Phoenix,0.06
141861,Dallas,0.07
141861,Philadelphia,0.15
141861,San Jose,0.13
137121,Houston,0.18
137121,Philadelphia,0.09
137121,Chicago,0.02
137121,San Antonio,0.14
137121,San Jose,0.15
137121,Los Angeles,0.11
137121,San Diego,0.15
137121,Dallas,0.1
137121,New York,0.1
137121,Phoenix,0.09
113143,San Jose,0.01
113143,San Diego,0.02
113143,Los Angeles,0.01
113143,Phoenix,0.13
113143,San Antonio,0.06
113143,New York,0.1
113143,Philadelphia,0.18
113143,Dallas,0.05
113143,Chicago,0.08
113143,Houston,0.15
140028,New York,0.05
140028,San Jose,0.02
140028,Houston,0.06
140028,San Diego,0.03
140028,Phoenix,0.19
140028,Los Angeles,0.16
140028,Philadelphia,0.13
140028,Chicago,0.17
140028,Dallas,0.16
140028,San Antonio,0.04
134693,San Jose,0.18
134693,Chicago,0.11
151396,Phoenix,0.16
151396,Los Angeles,0.18
151396,San Jose,0.06
151396,Philadelphia,0.02
151396,New York,0.05
151396,Dallas,0.09
151396,San Diego,0.16
132889,Houston,0.17
132889,New York,0.0
132889,San Diego,0.1
132889,Chicago,0.08
132889,Philadelphia,0.04
132889,San Jose,0.02
132889,San Antonio,0.07
132889,Los Angeles,0.19
132889,Dallas,0.06
132889,Phoenix,0.1
152174,Houston,0.14
152174,San Jose,0.07
129906,Los Angeles,0.19
129906,San Diego,0.19
129906,Philadelphia,0.05
129906,Phoenix,0.1
129906,Dallas,0.06
129906,New York,0.06
129906,San Antonio,0.01
129906,Houston,0.12
129906,Chicago,0.1
129906,San Jose,0.01
195879,Dallas,0.06
195879,Phoenix,0.18
195879,Chicago,0.05
195879,San Jose,0.03
195879,Houston,0.1
195879,Los Angeles,0.2
195879,San Diego,0.05
195879,San Antonio,0.13
195879,Philadelphia,0.15
195879,New York,0.05
155050,Chicago,0.15
155050,San Antonio,0.07
155050,Philadelphia,0.13
155050,San Diego,0.13
155050,San Jose,0.11
155050,Houston,0.02
155050,New York,0.17
155050,Dallas,0.06
155050,Phoenix,0.04
155050,Los Angeles,0.01
194410,Chicago,0.12
141904,Houston,0.14
141904,San Jose,0.0
141904,Phoenix,0.1
141904,San Diego,0.05
141904,Philadelphia,0.13
141904,San Antonio,0.03
141904,Los Angeles,0.14
141904,Dallas,0.08
141904,New York,0.19
141904,Chicago,0.03
124981,Los Angeles,0.07
124981,New York,0.02
124981,Chicago,0.18
